城市,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
宿州市,,1.0,2.0,5.0,6.0,6.0,6.0,6.0,11.0,12.0,17.0,19.0,25.0,28.0,35.0,48,60,94,144,220,301,672,1047,1584,2109,2639,3168,3697,4227,4756,5286
宿迁市,2.0,4.0,5.0,5.0,7.0,7.0,10.0,12.0,17.0,28.0,37.0,50.0,60.0,82.0,130.0,173,220,286,357,478,1044,1697,2097,2741,3341,3946,4551,5156,5761,6366,6972
岳阳市,7.0,7.0,9.0,11.0,12.0,13.0,15.0,18.0,20.0,23.0,25.0,29.0,34.0,41.0,56.0,70,89,110,141,201,284,464,773,1111,1449,1788,2126,2464,2803,3141,3479
崇左市,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,11.0,13,20,32,46,62,113,151,225,271,328,384,439,494,549,604,660
巴中市,,,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,8.0,13.0,22.0,26,37,50,75,94,131,210,303,389,475,561,647,733,819,905,991
巴彦淖尔市,,,,,2.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,9.0,11.0,19.0,29,41,47,60,77,97,158,234,319,404,489,574,659,744,829,914
常州市,25.0,33.0,38.0,47.0,55.0,65.0,83.0,95.0,108.0,127.0,154.0,194.0,232.0,292.0,379.0,467,610,779,997,1222,2298,3453,4457,5709,6935,8168,9401,10633,11866,13099,14332
常德市,3.0,3.0,4.0,5.0,5.0,6.0,7.0,10.0,11.0,12.0,15.0,19.0,23.0,25.0,44.0,52,64,84,102,136,183,258,408,597,786,975,1164,1353,1542,1731,1920
平凉市,,,,1.0,2.0,2.0,2.0,5.0,6.0,7.0,7.0,10.0,13.0,17.0,31.0,50,65,76,115,143,174,269,346,467,575,688,801,914,1027,1139,1252
平顶山市,4.0,5.0,5.0,5.0,6.0,7.0,7.0,8.0,9.0,14.0,19.0,24.0,31.0,33.0,45.0,74,96,125,158,210,290,523,756,1093,1427,1763,2098,2433,2769,3104,3439
广元市,1.0,1.0,1.0,2.0,4.0,4.0,6.0,8.0,10.0,11.0,13.0,17.0,21.0,24.0,32.0,48,62,82,117,146,197,296,395,494,593,692,791,890,989,1088,1187
广安市,1.0,1.0,2.0,2.0,2.0,3.0,3.0,6.0,6.0,6.0,9.0,11.0,12.0,14.0,20.0,27,38,56,79,119,189,293,380,475,570,665,760,855,950,1045,1140
