城市,GRP（单位：亿元）,AI百度指数,政策数量,科学技术支出（单位：万元）,教育支出（单位：万元）,年份,注销
厦门市,4351.72,173885,4,237386,1231528,2017,1.0
厦门市,4791.4131,183643,16,285559,1363853,2018,0.0
厦门市,5995.0,169841,31,384332,1476725,2019,0.0
厦门市,6384.0,146025,35,412243,1599003,2020,86.0
厦门市,7034.0,125768,32,505626,1791918,2021,541.0
厦门市,7803.0,124314,23,602411,1956311,2022,1034.0
厦门市,8066.0,169942,25,616598,2037659,2023,1399.0
双鸭山市,433.3342,20215,0,3718,178613,2015,0.0
双鸭山市,437.3971,24866,0,1289,187018,2016,0.0
双鸭山市,462.9111,25687,0,1007,149681,2017,0.0
双鸭山市,507.0075,33241,1,2533,152360,2018,0.0
双鸭山市,476.0,29528,1,2747,157354,2019,0.0
双鸭山市,494.0,39092,2,2466,168322,2020,0.0
双鸭山市,516.0,19902,2,12954,174315,2021,0.0
双鸭山市,557.0,20057,2,12913,180106,2022,1.0
双鸭山市,541.0,31858,1,6120,187415,2023,5.0
台州市,3553.8533,86304,0,167047,986283,2015,0.0
台州市,3898.6594,96416,0,115254,1084686,2016,0.0
台州市,4388.22,111449,3,137217,1226156,2017,0.0
台州市,4874.6696,110483,5,169642,1345144,2018,1.0
台州市,5134.0,108663,9,287879,1473112,2019,1.0
台州市,5263.0,110832,9,175336,1491485,2020,54.0
台州市,5786.0,98022,11,221466,1581500,2021,149.0
台州市,6041.0,101371,10,268593,1746919,2022,225.0
台州市,6241.0,128664,12,316323,1919376,2023,230.0
合肥市,5660.27,127532,0,372666,1192865,2015,0.0
合肥市,6274.3777,149444,0,1016998,1190748,2016,1.0
合肥市,7003.05,186354,1,695921,1418002,2017,5.0
合肥市,7822.9061,207124,8,919741,1635053,2018,8.0
合肥市,9409.0,204362,11,1303222,1940527,2019,81.0
合肥市,10046.0,174205,19,1633287,1975427,2020,171.0
合肥市,11413.0,163351,23,1740822,2101977,2021,556.0
合肥市,12013.0,163182,33,2456708,2363239,2022,1039.0
合肥市,12674.0,226410,31,2460306,2521680,2023,1495.0
吉安市,1328.5198,37031,0,75203,766135,2015,0.0
吉安市,1461.3721,51121,0,73901,789720,2016,0.0
吉安市,1633.47,72015,1,86765,866115,2017,0.0
吉安市,1742.2292,85917,2,115177,936144,2018,0.0
吉安市,2085.0,76910,2,129078,1025944,2019,2.0
吉安市,2168.0,75135,1,146120,1083481,2020,9.0
吉安市,2526.0,62294,2,154417,1112021,2021,42.0
吉安市,2750.0,64332,3,183930,1177293,2022,98.0
吉安市,2735.0,78685,5,242265,1232285,2023,101.0
吉林市,2394.186,76453,0,34798,562400,2015,0.0
吉林市,2453.5091,83219,0,27194,599423,2016,0.0
吉林市,2208.8526,96662,2,39761,582762,2017,0.0
吉林市,2210.2386,93529,6,20098,629735,2018,0.0
吉林市,1417.0,90456,6,17580,524645,2019,10.0
吉林市,1453.0,88412,4,12396,572710,2020,7.0
吉林市,1550.0,72857,6,13433,479353,2021,19.0
吉林市,1518.0,70280,7,3518,475271,2022,40.0
吉林市,1584.0,86754,9,10177,524065,2023,109.0
吕梁市,955.8013,45793,0,10688,598227,2015,0.0
吕梁市,995.3079,59559,0,16646,599429,2016,0.0
吕梁市,1310.3217,67770,0,24553,644344,2017,0.0
吕梁市,1420.3195,73444,0,17641,731960,2018,0.0
吕梁市,1512.0,66396,0,21344,729461,2019,0.0
吕梁市,1538.0,71464,3,13980,703902,2020,0.0
吕梁市,2071.0,56304,5,15284,713090,2021,6.0
吕梁市,2419.0,60465,5,14657,877348,2022,35.0
吕梁市,2366.0,75580,3,14290,950194,2023,72.0
吴忠市,404.8073,8292,0,8679,240148,2015,0.0
吴忠市,442.4283,18713,0,10208,258210,2016,0.0
吴忠市,508.1146,19718,0,13994,309621,2017,0.0
吴忠市,534.5336,27061,1,24809,311272,2018,0.0
吴忠市,580.0,27030,2,28066,324678,2019,1.0
吴忠市,622.0,32595,2,24166,377013,2020,2.0
吴忠市,762.0,28153,3,28301,381040,2021,6.0
吴忠市,867.0,27858,2,22487,383876,2022,12.0
吴忠市,902.0,45888,4,28159,404260,2023,22.0
