城市,教育支出_z,科技支出_z,注销_z,风险评分,聚类类别,动态预警,风险评分增长率,注销增长率,最新风险评分,残差,风险等级
白银市,-1.2335811384723962e-16,-1.9737298215558337e-16,2.4671622769447922e-17,7.401486830834377e-17,1,无预警,-0.45730945280473845,-0.20833333333333337,0.8558163960844498,1.578983857244667e-15,低风险
玉林市,2.713878504639272e-16,0.0,-2.4671622769447922e-17,-4.9343245538895844e-17,0,黄色预警,0.16345381255754732,0.18181818181818188,1.1952027871556705,-1.578983857244667e-15,低风险
漳州市,2.220446049250313e-16,7.401486830834377e-17,-8.635067969306773e-17,-9.868649107779169e-17,0,无预警,-0.3877031631670693,-0.17845117845117842,0.5538784920844861,-1.578983857244667e-14,低风险
渭南市,8.018277400070575e-16,8.018277400070575e-16,-1.2335811384723961e-17,-1.356939252319636e-16,0,无预警,-0.47129227888933345,-0.22448979591836737,0.7232718631125182,1.578983857244667e-15,低风险
温州市,1.9737298215558337e-16,0.0,-4.9343245538895844e-17,-4.9343245538895844e-17,0,黄色预警,0.3552170178573322,0.23320158102766797,1.1224815201682319,9.473903143468002e-15,低风险
常州市,1.9737298215558337e-16,-2.4671622769447924e-16,9.868649107779169e-17,1.2335811384723962e-16,1,无预警,-0.11558846753698127,0.023622047244094446,1.097557914064092,2.4079503822981173e-14,低风险
龙岩市,2.713878504639272e-16,-1.3877787807814457e-16,7.401486830834377e-17,7.401486830834377e-17,0,无预警,-0.08480961976386148,-0.10582010582010581,0.7383151458458123,2.3684757858670005e-15,低风险
亳州市,-2.9605947323337506e-16,-1.7270135938613546e-16,6.1679056923619804e-18,3.0839528461809905e-17,1,无预警,-1.0196622780864653,-0.7738095238095238,-0.03933347080290489,-6.315935428978668e-15,低风险
乐山市,0.0,9.868649107779169e-17,4.9343245538895844e-17,2.4671622769447922e-17,1,无预警,-0.41236566854973045,-0.1578947368421053,0.6890438386754099,0.0,低风险
丽水市,-7.401486830834377e-17,7.401486830834377e-17,-7.401486830834377e-17,-4.9343245538895844e-17,1,无预警,0.9059585183078664,0.4722222222222223,1.230252412589011,-6.118562446823085e-15,低风险
宁波市,3.7007434154171886e-16,1.2335811384723962e-16,0.0,-4.9343245538895844e-17,0,黄色预警,0.3385389064018156,0.24132231404958682,1.2152807388861726,3.473764485938268e-14,低风险
内江市,-4.6876083261951055e-16,1.1102230246251565e-16,-2.4671622769447922e-17,2.4671622769447922e-17,2,无预警,-0.3951629142153913,-0.2222222222222222,0.8114239244858852,-9.473903143468002e-15,低风险
儋州市,2.713878504639272e-16,-7.401486830834377e-17,-2.4671622769447922e-17,-4.9343245538895844e-17,0,黄色预警,0.13316215281070476,0.09401709401709413,1.0478624411257718,0.0,低风险
安康市,2.4671622769447922e-17,-1.850371707708594e-17,4.9343245538895844e-17,2.4671622769447922e-17,1,无预警,-0.17136630669563446,-0.07843137254901966,0.8655409801700635,0.0,低风险
乌海市,-1.4802973661668753e-16,-8.635067969306773e-17,2.4671622769447922e-17,4.9343245538895844e-17,1,无预警,-0.5960718583655409,-0.33333333333333337,0.6706765457713804,-3.157967714489334e-15,低风险
南京市,-3.9474596431116675e-16,-2.220446049250313e-16,0.0,7.401486830834377e-17,1,无预警,0.008804617686594574,0.016410256410256396,1.2522006054148056,-1.2631870857957337e-13,低风险
南充市,1.2335811384723962e-16,-1.356939252319636e-16,-7.401486830834377e-17,-7.401486830834377e-17,1,无预警,-0.535174792159911,-0.2845528455284553,0.6697166216320041,-9.473903143468002e-15,低风险
宜宾市,9.868649107779169e-17,9.868649107779169e-17,6.1679056923619804e-18,6.1679056923619804e-18,1,无预警,-1.0157326200040377,-0.40217391304347827,-0.011916582639297013,7.894919286223335e-16,低风险
商洛市,-5.674473236973022e-16,1.7270135938613546e-16,-9.868649107779169e-17,-2.4671622769447922e-17,2,无预警,-0.5246825726901663,-0.29166666666666663,0.5243216199852769,-7.894919286223336e-15,低风险
宁德市,0.0,5.474016301971258e-17,-4.9343245538895844e-17,-2.4671622769447922e-17,1,无预警,6.017775285044203,0.7407407407407407,1.052665738153707,-3.157967714489334e-15,低风险
吉安市,-9.868649107779169e-17,-2.9605947323337506e-16,2.4671622769447922e-17,4.9343245538895844e-17,1,无预警,-0.07356547480188746,0.030612244897959107,1.095369621047938,-7.500173321912169e-15,低风险
上饶市,2.4671622769447924e-16,-4.9343245538895844e-17,-7.401486830834377e-17,-2.4671622769447922e-17,0,黄色预警,0.06564243163917727,0.06557377049180335,1.1623997376827837,-5.526443500356335e-15,低风险
岳阳市,2.4671622769447924e-16,-9.868649107779169e-17,-4.9343245538895844e-17,-8.635067969306773e-17,0,无预警,-0.44958766242946824,-0.25609756097560976,0.7483625235062524,-3.947459643111668e-15,低风险
宝鸡市,-9.375216652390211e-16,4.9343245538895844e-17,0.0,9.868649107779169e-17,2,黄色预警,0.06504114981952225,0.1875,1.196130114788498,-7.105427357601002e-15,低风险
三明市,-3.7007434154171886e-16,0.0,4.9343245538895844e-17,4.9343245538895844e-17,1,无预警,1.0848745524073902,0.4065934065934067,1.214801525163368,-1.578983857244667e-15,低风险
云浮市,-1.356939252319636e-16,6.167905692361981e-17,2.4671622769447922e-17,7.401486830834377e-17,1,无预警,-0.1040046107756959,0.0,1.2921755906815664,-6.315935428978668e-15,低风险
宿迁市,-3.4540271877227093e-16,-2.9605947323337506e-16,4.9343245538895844e-17,9.868649107779169e-17,1,无预警,-0.34489581858116003,-0.22529644268774707,0.9324632256535077,1.578983857244667e-15,低风险
